rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/clip_fraction,train/clip_range,train/explained_variance,train/approx_kl,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/loss
19.42,13,90,3391,46080,7.267972480000001,0.044140625,0.2,0.32627588510513306,0.005414741,-0.5653422631323337,890,-0.005856390518601984,0.0005,5.818827465176582,2.9874191284179688
19.92,13,91,3451,46592,7.5553472500000005,0.0376953125,0.2,0.27459126710891724,0.002186609,-0.5282222021371126,900,-0.0025595948100090027,0.0005,6.127597859501838,2.6985831260681152
21.16,13,92,3498,47104,8.13580327,0.03828125,0.2,0.5167015790939331,0.0036817223,-0.5441070340573788,910,-0.0001063747680746019,0.0005,6.421796375513077,2.483240842819214
22.06,13,93,3546,47616,8.56915821,0.030859375,0.2,0.28147321939468384,0.0023631235,-0.5274289797991514,920,-0.00340130539261736,0.0005,7.96860648393631,3.4286208152770996
21.81,13,94,3596,48128,8.49781609,0.01875,0.2,0.3547166585922241,0.00083722535,-0.535106448084116,930,-0.0011044108599890024,0.0005,8.611786389350891,3.1867380142211914
21.74,13,95,3643,48640,8.404775260000001,0.01171875,0.2,0.42115288972854614,0.0020475946,-0.5415683817118406,940,-0.0018740467785391957,0.0005,7.202087682485581,3.1853010654449463
21.28,13,96,3695,49152,8.07716884,0.054296875,0.2,0.45146894454956055,0.0060563767,-0.5738664150238038,950,-0.004115296999225393,0.0005,3.974104753136635,1.5929174423217773
19.76,13,97,3737,49664,7.30295944,0.093359375,0.2,0.2234378457069397,0.007808624,-0.6925603285431862,960,-0.007123949081869796,0.0005,5.472901728749275,2.4803059101104736
20.35,13,98,3781,50176,7.5265398,0.0263671875,0.2,0.29653316736221313,0.005079685,-0.6644958339631557,970,-0.0028596397081855685,0.0005,6.37949467599392,2.6968016624450684
20.75,13,99,3826,50688,7.687584669999999,0.028515625,0.2,0.26967912912368774,0.0062702964,-0.6331067010760307,980,-0.0019292923447210343,0.0005,6.289698347449303,3.226776123046875
20.9,13,100,3874,51200,7.7540384399999995,0.0216796875,0.2,0.39480072259902954,0.002259456,-0.642728966474533,990,-0.0004455818620044738,0.0005,6.448668792843819,2.9492197036743164
21.23,13,101,3917,51712,7.859908320000001,0.0091796875,0.2,0.2865629196166992,0.0007985609,-0.6917334631085396,1000,-0.0011081382690463215,0.0005,7.206298387050628,3.131523847579956
20.1,13,102,3951,52224,7.39419862,0.0328125,0.2,0.4802125096321106,0.0038905484,-0.6549053467810154,1010,-0.0053033795324154195,0.0005,5.066865929961205,3.089751958847046
20.4,13,103,3981,52736,7.624006580000001,0.012109375,0.2,0.13846933841705322,0.00069828366,-0.6105260916054249,1020,-0.001478819496696815,0.0005,7.298407965898514,2.9566588401794434
19.73,13,104,4011,53248,7.36693456,0.026953125,0.2,0.4787694215774536,0.002110059,-0.575856426358223,1030,-0.002132539276499301,0.0005,4.740550190210342,1.6135220527648926
20.14,13,105,4041,53760,7.616829719999999,0.0837890625,0.2,0.336404025554657,0.011901838,-0.5172935806214809,1040,-0.006885718915145844,0.0005,4.877501755952835,1.839601993560791
21.3,13,106,4070,54272,8.14834102,0.052734375,0.2,0.40585994720458984,0.0032494059,-0.552649762481451,1050,-0.002908390376251191,0.0005,4.571287626028061,1.655880331993103
21.2,13,107,4104,54784,8.081921869999999,0.0466796875,0.2,0.3467121124267578,0.004904028,-0.5594056688249112,1060,-0.0021441420773044228,0.0005,8.186979085206985,5.161894798278809
21.05,13,108,4140,55296,8.050950069999999,0.059375,0.2,0.5023908615112305,0.0043778303,-0.49547771774232385,1070,-0.001046941615641117,0.0005,5.983017778396606,2.564181089401245
20.42,13,109,4178,55808,7.618354620000002,0.0267578125,0.2,0.3293130397796631,0.0023783376,-0.5480349093675614,1080,-0.000844676821725443,0.0005,5.431009960174561,2.122924566268921
21.14,13,110,4212,56320,7.89337239,0.059765625,0.2,0.2927734851837158,0.006650607,-0.5529266085475684,1090,-0.006085075240116566,0.0005,5.929958572983741,2.9160406589508057
20.87,13,111,4244,56832,7.719856429999998,0.034765625,0.2,0.3909704089164734,0.003048624,-0.5670388348400592,1100,-0.0031114879995584486,0.0005,5.628297567367554,2.4506754875183105
21.32,13,112,4277,57344,7.89907316,0.024609375,0.2,0.33801913261413574,0.00085040694,-0.580680126696825,1110,-0.001447635085787624,0.0005,6.497122728824616,3.4484329223632812
